home_goals,away_goals,home_shots,away_shots,home_xg,away_xg,home_possession,run,home_pressing,away_pressing,fatigue_model
0,0,1,4,0.03784,0.15715200000000001,0.36666666666666664,175,high,low,linear
0,1,4,5,0.144808,0.19772800000000001,0.5777777777777777,176,high,low,linear
0,0,7,0,0.257824,0.0,0.6666666666666666,177,high,low,linear
0,0,1,0,0.037048,0.0,0.7222222222222222,178,high,low,linear
0,0,4,1,0.152296,0.038848,0.6444444444444445,179,high,low,linear
1,0,3,7,0.11575200000000001,0.27343999999999996,0.32222222222222224,180,high,low,linear
0,0,1,7,0.038632,0.275296,0.45555555555555555,181,high,low,linear
0,1,6,3,0.2274,0.11788799999999999,0.6444444444444445,182,high,low,linear
1,0,5,3,0.19330400000000003,0.11843200000000001,0.7333333333333333,183,high,low,linear
0,0,5,0,0.188408,0.0,0.7555555555555555,184,high,low,linear
0,0,2,2,0.07503199999999999,0.07872000000000001,0.5222222222222223,185,high,low,linear
0,0,4,7,0.153376,0.2736,0.36666666666666664,186,high,low,linear
0,0,2,4,0.073664,0.15683199999999997,0.4666666666666667,187,high,low,linear
0,0,3,4,0.11712,0.15536,0.4222222222222222,188,high,low,linear
0,1,5,3,0.187328,0.117536,0.5777777777777777,189,high,low,linear
0,0,2,5,0.079064,0.197024,0.3,190,high,low,linear
0,0,5,5,0.188552,0.196192,0.35555555555555557,191,high,low,linear
0,0,0,2,0.0,0.07872,0.5888888888888889,192,high,low,linear
0,0,2,3,0.07539199999999999,0.11804799999999999,0.34444444444444444,193,high,low,linear
0,0,2,4,0.07344799999999999,0.157696,0.35555555555555557,194,high,low,linear
0,0,3,2,0.112008,0.078656,0.5,195,high,low,linear
0,0,2,4,0.077048,0.157536,0.5222222222222223,196,high,low,linear
0,0,2,1,0.07791200000000001,0.038655999999999996,0.6666666666666666,197,high,low,linear
0,0,5,0,0.182144,0.0,0.5777777777777777,198,high,low,linear
0,0,5,0,0.18811999999999998,0.0,0.4888888888888889,199,high,low,linear
0,0,8,0,0.300632,0.0,0.8777777777777778,200,high,low,linear
0,0,6,4,0.22149600000000003,0.15616,0.5777777777777777,201,high,low,linear
0,0,2,4,0.074816,0.158464,0.5444444444444444,202,high,low,linear
0,1,5,2,0.188624,0.07776,0.5222222222222223,203,high,low,linear
1,0,3,2,0.10689599999999999,0.07830399999999998,0.4,204,high,low,linear
0,0,5,1,0.186608,0.038592,0.6222222222222222,205,high,low,linear
1,0,4,4,0.149776,0.156096,0.5333333333333333,206,high,low,linear
0,0,2,2,0.076544,0.077536,0.28888888888888886,207,high,low,linear
0,0,0,5,0.0,0.195296,0.2222222222222222,208,high,low,linear
0,0,3,5,0.109776,0.195584,0.28888888888888886,209,high,low,linear
0,0,3,2,0.11171999999999999,0.078336,0.6333333333333333,210,high,low,linear
1,0,2,6,0.07496,0.23542400000000002,0.4222222222222222,211,high,low,linear
0,1,2,6,0.074456,0.23551999999999998,0.4111111111111111,212,high,low,linear
0,0,3,0,0.108552,0.0,0.6222222222222222,213,high,low,linear
0,0,3,1,0.115608,0.039008,0.5333333333333333,214,high,low,linear
0,0,4,1,0.149488,0.039743999999999995,0.45555555555555555,215,high,low,linear
1,0,3,1,0.11006399999999998,0.03856,0.4666666666666667,216,high,low,linear
0,0,5,1,0.185384,0.03936,0.6555555555555556,217,high,low,linear
0,0,2,4,0.07676,0.156192,0.4222222222222222,218,high,low,linear
1,0,1,5,0.03712,0.196096,0.2777777777777778,219,high,low,linear
0,0,4,1,0.144376,0.039776,0.6888888888888889,220,high,low,linear
0,0,4,2,0.149056,0.07856,0.5,221,high,low,linear
0,1,5,4,0.1874,0.157408,0.43333333333333335,222,high,low,linear
0,1,2,5,0.07841600000000001,0.196096,0.5,223,high,low,linear
0,1,2,6,0.07344799999999999,0.23552,0.4666666666666667,224,high,low,linear
0,1,3,5,0.11013599999999998,0.19632000000000002,0.4777777777777778,225,high,low,linear
0,0,2,2,0.07186399999999998,0.079072,0.5666666666666667,226,high,low,linear
0,0,4,0,0.151216,0.0,0.6222222222222222,227,high,low,linear
0,0,0,5,0.0,0.19705599999999998,0.4,228,high,low,linear
0,0,0,6,0.0,0.23459200000000002,0.25555555555555554,229,high,low,linear
0,0,3,3,0.11805600000000001,0.11728000000000001,0.43333333333333335,230,high,low,linear
0,1,2,5,0.07632800000000001,0.195456,0.5111111111111111,231,high,low,linear
0,0,3,2,0.11301599999999998,0.078048,0.5111111111111111,232,high,low,linear
0,0,2,3,0.071864,0.117984,0.4111111111111111,233,high,low,linear
0,0,5,3,0.18876800000000002,0.117824,0.5666666666666667,234,high,low,linear
0,0,5,2,0.18790400000000002,0.07878399999999999,0.45555555555555555,235,high,low,linear
0,0,4,2,0.143368,0.079552,0.4444444444444444,236,high,low,linear
0,0,1,3,0.037984000000000004,0.11926400000000001,0.4888888888888889,237,high,low,linear
0,0,3,3,0.115176,0.117856,0.4111111111111111,238,high,low,linear
0,0,6,2,0.22394399999999998,0.077632,0.5777777777777777,239,high,low,linear
0,0,0,9,0.0,0.353056,0.15555555555555556,240,high,low,linear
0,0,4,2,0.150568,0.078336,0.6555555555555556,241,high,low,linear
0,0,3,5,0.110424,0.196352,0.5111111111111111,242,high,low,linear
0,0,3,3,0.10977599999999998,0.117248,0.5333333333333333,243,high,low,linear
1,0,4,2,0.148624,0.07888,0.43333333333333335,244,high,low,linear
0,0,3,1,0.11920800000000001,0.039072,0.3888888888888889,245,high,low,linear
0,0,5,4,0.188264,0.156576,0.6555555555555556,246,high,low,linear
0,0,0,4,0.0,0.155936,0.37777777777777777,247,high,low,linear
0,0,4,4,0.15035199999999999,0.157248,0.4,248,high,low,linear
0,0,3,2,0.11186399999999999,0.078304,0.3888888888888889,249,high,low,linear
0,0,3,5,0.107184,0.196384,0.2777777777777778,250,high,low,linear
0,0,5,2,0.189056,0.077984,0.7222222222222222,251,high,low,linear
1,0,6,3,0.22668,0.117088,0.6,252,high,low,linear
0,0,0,4,0.0,0.157248,0.4888888888888889,253,high,low,linear
1,0,2,3,0.07546399999999999,0.118656,0.45555555555555555,254,high,low,linear
0,0,4,3,0.14999200000000001,0.11728,0.6555555555555556,255,high,low,linear
0,0,4,2,0.150928,0.078464,0.6222222222222222,256,high,low,linear
0,0,3,5,0.110712,0.195712,0.3333333333333333,257,high,low,linear
0,0,3,7,0.117336,0.274336,0.36666666666666664,258,high,low,linear
0,1,1,2,0.039712000000000004,0.078816,0.5555555555555556,259,high,low,linear
0,0,0,6,0.0,0.237696,0.4222222222222222,260,high,low,linear
0,1,3,2,0.112512,0.079712,0.45555555555555555,261,high,low,linear
0,0,1,11,0.038344,0.43126400000000004,0.17777777777777778,262,high,low,linear
0,0,0,4,0.0,0.15699200000000002,0.4666666666666667,263,high,low,linear
1,0,2,6,0.07712,0.23609600000000003,0.4888888888888889,264,high,low,linear
0,0,3,5,0.11150399999999999,0.19776,0.5777777777777777,265,high,low,linear
0,0,3,2,0.11460000000000001,0.07856,0.7555555555555555,266,high,low,linear
0,1,1,5,0.039568,0.19632,0.3111111111111111,267,high,low,linear
0,0,8,1,0.29501599999999994,0.038688,0.4777777777777778,268,high,low,linear
0,0,2,1,0.07589599999999999,0.039744,0.5777777777777777,269,high,low,linear
0,1,5,6,0.193448,0.23513599999999998,0.4888888888888889,270,high,low,linear
0,0,2,4,0.0764,0.15744000000000002,0.3888888888888889,271,high,low,linear
0,0,2,0,0.075896,0.0,0.6111111111111112,272,high,low,linear
0,0,2,4,0.075464,0.15766400000000003,0.5222222222222223,273,high,low,linear
0,1,3,1,0.116976,0.038976,0.35555555555555557,274,high,low,linear
0,0,3,0,0.1146,0.0,0.8888888888888888,275,high,low,linear
0,0,3,3,0.11136,0.117376,0.5555555555555556,276,high,low,linear
0,0,2,2,0.07517599999999999,0.077216,0.4,277,high,low,linear
0,0,0,2,0.0,0.079488,0.6555555555555556,278,high,low,linear
0,0,1,4,0.036832,0.15696,0.3333333333333333,279,high,low,linear
0,0,3,6,0.10855199999999998,0.23615999999999998,0.5222222222222223,280,high,low,linear
0,0,5,4,0.186464,0.156352,0.7111111111111111,281,high,low,linear
0,0,1,7,0.037408000000000004,0.276192,0.13333333333333333,282,high,low,linear
0,0,2,4,0.07697599999999999,0.15523199999999998,0.6333333333333333,283,high,low,linear
0,0,1,2,0.039712000000000004,0.077952,0.6111111111111112,284,high,low,linear
0,0,5,1,0.18459200000000003,0.038655999999999996,0.6777777777777778,285,high,low,linear
0,0,3,4,0.11791199999999999,0.15737600000000002,0.5111111111111111,286,high,low,linear
0,0,4,1,0.15107199999999998,0.038688,0.7888888888888889,287,high,low,linear
0,0,2,3,0.0746,0.11951999999999999,0.5666666666666667,288,high,low,linear
0,0,3,0,0.111648,0.0,0.7555555555555555,289,high,low,linear
0,2,1,4,0.038704,0.157728,0.37777777777777777,290,high,low,linear
0,0,3,6,0.110064,0.234976,0.3111111111111111,291,high,low,linear
0,0,2,3,0.074168,0.11804800000000001,0.43333333333333335,292,high,low,linear
0,0,3,2,0.111072,0.07744,0.5555555555555556,293,high,low,linear
0,0,1,4,0.035103999999999996,0.15555200000000002,0.5666666666666667,294,high,low,linear
0,0,4,9,0.152728,0.355232,0.4666666666666667,295,high,low,linear
0,0,3,2,0.115464,0.07891200000000001,0.5222222222222223,296,high,low,linear
2,0,7,2,0.265384,0.078016,0.7,297,high,low,linear
0,1,8,3,0.305168,0.11696,0.5111111111111111,298,high,low,linear
0,1,2,2,0.074528,0.07916799999999999,0.5777777777777777,299,high,low,linear
0,0,2,1,0.076616,0.039968,0.5,300,high,low,linear
0,0,1,6,0.037624,0.23564800000000002,0.4222222222222222,301,high,low,linear
0,0,2,3,0.07791200000000001,0.11843199999999998,0.5111111111111111,302,high,low,linear
0,0,3,6,0.11316000000000001,0.235872,0.24444444444444444,303,high,low,linear
0,0,4,1,0.155536,0.039232,0.6888888888888889,304,high,low,linear
0,0,2,2,0.07891999999999999,0.07727999999999999,0.4888888888888889,305,high,low,linear
0,0,0,2,0.0,0.078656,0.4777777777777778,306,high,low,linear
0,0,2,2,0.07589599999999999,0.078048,0.5777777777777777,307,high,low,linear
0,0,6,2,0.22963199999999995,0.07785600000000001,0.7888888888888889,308,high,low,linear
0,0,6,1,0.223296,0.039264,0.6,309,high,low,linear
0,0,1,4,0.036904,0.156416,0.6,310,high,low,linear
0,0,1,3,0.038632,0.11779200000000001,0.43333333333333335,311,high,low,linear
0,0,3,3,0.11611199999999999,0.11782400000000001,0.6222222222222222,312,high,low,linear
0,0,2,5,0.076184,0.197216,0.5444444444444444,313,high,low,linear
0,0,3,7,0.117048,0.272864,0.3888888888888889,314,high,low,linear
0,0,5,1,0.181424,0.039808,0.5555555555555556,315,high,low,linear
1,0,6,2,0.22826400000000002,0.079232,0.5777777777777777,316,high,low,linear
0,0,3,4,0.11380799999999999,0.157216,0.4111111111111111,317,high,low,linear
